no,title_cn,title_en,subject_cn,call_code,year
1,山地植物志,MOUNTAIN FLORA OF THE NORTHERN REGION,植物学,PZ.10.10,1970
2,海岸鸟类图鉴,COASTAL CLIMATE OF THE DELTAIC REGION,气象学,PZ.11.17,1977
3,沙漠地质概论,DESERT MIGRATION OF THE CENTRAL REGION,生态学,PZ.12.24,1984
4,北方森林生态,ENCYCLOPEDIA OF ALPINE ECOLOGY,动物学,PZ.13.31,1991
5,城市水文研究,URBAN HYDROLOGY OF THE EASTERN REGION,水文学,PZ.14.38,1998
6,河流沉积分析,RIVER ECOLOGY OF THE SOUTHERN REGION,地理学,PZ.15.45,2005
7,高山土壤调查,ALPINE GEOLOGY OF THE NORTHERN REGION,地质学,PZ.16.52,2012
8,热带雨林笔记,INDEX/CATALOGUE OF NORTHERN FLORA,土壤学,PZ.17.59,2019
9,河口湿地手册,ESTUARINE FLORA OF THE CENTRAL REGION,植物学,PZ.18.66,1975
10,草原昆虫图谱,GRASSLAND CLIMATE OF THE WESTERN REGION,气象学,PZ.19.73,1982
11,岩层构造导论,MOUNTAIN MIGRATION OF THE EASTERN REGION,生态学,PZ.20.80,1989
12,湖泊富营养化,COASTAL FAUNA OF THE SOUTHERN REGION,动物学,PZ.21.87,1996
13,山地植物志图鉴汇编,DESERT HYDROLOGY OF THE NORTHERN REGION,水文学,PZ.22.94,2003
14,海岸鸟类图鉴,BOREAL ECOLOGY OF THE DELTAIC REGION,地理学,PZ.23.11,2010
15,沙漠地质概论,URBAN GEOLOGY OF THE CENTRAL REGION,地质学,PZ.24.18,2017
16,北方森林生态,FIELD-GUIDE TO THE COASTAL ZONE,土壤学,PZ.25.25,1973
17,城市水文研究,ALPINE FLORA OF THE EASTERN REGION,植物学,PZ.26.32,1980
18,河流沉积分析,TROPICAL CLIMATE OF THE SOUTHERN REGION,气象学,PZ.27.39,1987
19,高山土壤调查,COMPREHENSIVE SURVEY OF ESTUARINE HYDROLOGY,,PZ.28.46,1994
20,热带雨林笔记,GRASSLAND FAUNA OF THE DELTAIC REGION,动物学,PZ.29.53,2001
21,河口湿地手册,MANUSCRIPT COLLECTION OF THE DELTAIC PLAIN,水文学,PZ.30.60,2008
22,草原昆虫图谱,COASTAL ECOLOGY OF THE WESTERN REGION,地理学,PZ.31.67,2015
23,岩层构造导论,DESERT GEOLOGY OF THE EASTERN REGION,地质学,PZ.32.74,1971
24,湖泊富营养化,BOREAL SOILS OF THE SOUTHERN REGION,土壤学,PZ.33.81,1978
25,山地植物志,ATLAS OF THE RIVER BASIN,植物学,PZ.34.88,1985
26,海岸鸟类图鉴,RIVER CLIMATE OF THE DELTAIC REGION,气象学,PZ.35.95,1992
27,沙漠地质概论,ALPINE MIGRATION OF THE CENTRAL REGION,生态学,PZ.36.12,1999
28,北方森林生态,TROPICAL FAUNA OF THE WESTERN REGION,动物学,PZ.37.19,2006
29,城市水文研究,ESTUARINE HYDROLOGY OF THE EASTERN REGION,水文学,PZ.38.26,2013
30,河流沉积分析,GRASSLAND ECOLOGY OF THE SOUTHERN REGION,地理学,PZ.39.33,2020
31,高山土壤调查,BIBLIOGRAPHY OF BOREAL MIGRATION PATTERNS,地质学,PZ.40.40,1976
32,热带雨林笔记,CHRONICLE OF URBAN ECOLOGY SURVEYS,土壤学,PZ.41.47,1983
33,河口湿地手册,DESERT FLORA OF THE CENTRAL REGION,植物学,PZ.42.54,1990
34,草原昆虫图谱,BOREAL CLIMATE OF THE WESTERN REGION,气象学,PZ.43.61,1997
35,岩层构造导论,URBAN MIGRATION OF THE EASTERN REGION,生态学,PZ.44.68,2004
36,湖泊富营养化,RIVER FAUNA OF THE SOUTHERN REGION,动物学,PZ.45.75,2011
37,山地植物志,ALPINE HYDROLOGY OF THE NORTHERN REGION,水文学,PZ.46.82,2018
38,海岸鸟类图鉴,TROPICAL ECOLOGY OF THE DELTAIC REGION,地理学,PZ.47.89,1974
39,沙漠地质概论,ESTUARINE GEOLOGY OF THE CENTRAL REGION,地质学,PZ.48.96,1981
40,北方森林生态,GRASSLAND SOILS OF THE WESTERN REGION,土壤学,PZ.49.13,1988
41,城市水文研究,MOUNTAIN FLORA OF THE EASTERN REGION,植物学,PZ.50.20,1995
42,河流沉积分析,COASTAL CLIMATE OF THE SOUTHERN REGION,气象学,PZ.51.27,2002
43,高山土壤调查,DESERT MIGRATION OF THE NORTHERN REGION,生态学,PZ.52.34,2009
44,热带雨林笔记,BOREAL FAUNA OF THE DELTAIC REGION,动物学,PZ.53.41,2016
45,河口湿地手册,URBAN HYDROLOGY OF THE CENTRAL REGION,水文学,PZ.54.48,1972
46,草原昆虫图谱,RIVER ECOLOGY OF THE WESTERN REGION,地理学,PZ.55.55,1979
47,岩层构造导论,ALPINE GEOLOGY OF THE EASTERN REGION,地质学,PZ.56.62,1986
48,湖泊富营养化,TROPICAL SOILS OF THE SOUTHERN REGION,土壤学,PZ.57.69,1993
49,山地植物志,ESTUARINE FLORA OF THE NORTHERN REGION,植物学,PZ.58.76,2000
50,海岸鸟类图鉴,GRASSLAND CLIMATE OF THE DELTAIC REGION,气象学,PZ.59.83,2007
51,沙漠地质概论,MOUNTAIN MIGRATION OF THE CENTRAL REGION,生态学,PZ.60.90,2014
52,北方森林生态,COASTAL FAUNA OF THE WESTERN REGION,动物学,PZ.61.97,1970
53,城市水文研究,DESERT HYDROLOGY OF THE EASTERN REGION,水文学,PZ.62.14,1977
54,河流沉积分析,BOREAL ECOLOGY OF THE SOUTHERN REGION,地理学,PZ.63.21,1984
55,高山土壤调查,URBAN GEOLOGY OF THE NORTHERN REGION,地质学,PZ.64.28,1991
56,热带雨林笔记,RIVER SOILS OF THE DELTAIC REGION,土壤学,PZ.65.35,1998
57,河口湿地手册,ALPINE FLORA OF THE CENTRAL REGION,植物学,PZ.66.42,2005
58,草原昆虫图谱,TROPICAL CLIMATE OF THE WESTERN REGION,气象学,PZ.67.49,2012
59,岩层构造导论,ESTUARINE MIGRATION OF THE EASTERN REGION,生态学,PZ.68.56,2019
60,湖泊富营养化,GRASSLAND FAUNA OF THE SOUTHERN REGION,动物学,PZ.69.63,1975
